model,seed,variable,shap_importance,input_space,explanation_type,active_config,method,aggregation,shap_rank,n_eval,n_bg,eval_seed,bg_seed,shap_baseline,explainer,mse_scaled_check,checkpoint_path,shap_importance_std_across_seeds
MLP,789,MULL,0.004637594095599158,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,7,100,100,42,42,train_mean_scaled,DeepExplainer,0.47169765273011055,checkpoints\bachelor_safe_v2\mlp_seed789.pt,
MLP,789,LUFL,0.0051154334113372,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,6,100,100,42,42,train_mean_scaled,DeepExplainer,0.47169765273011055,checkpoints\bachelor_safe_v2\mlp_seed789.pt,
MLP,789,LULL,0.005410492571155963,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,5,100,100,42,42,train_mean_scaled,DeepExplainer,0.47169765273011055,checkpoints\bachelor_safe_v2\mlp_seed789.pt,
MLP,789,OT,0.008994993062504272,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,1,100,100,42,42,train_mean_scaled,DeepExplainer,0.47169765273011055,checkpoints\bachelor_safe_v2\mlp_seed789.pt,
MLP,1024,HUFL,0.007276040317638223,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,2,100,100,42,42,train_mean_scaled,DeepExplainer,0.48527380505966605,checkpoints\bachelor_safe_v2\mlp_seed1024.pt,
MLP,1024,HULL,0.00533992870890625,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,4,100,100,42,42,train_mean_scaled,DeepExplainer,0.48527380505966605,checkpoints\bachelor_safe_v2\mlp_seed1024.pt,
MLP,1024,MUFL,0.006834826719468112,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,3,100,100,42,42,train_mean_scaled,DeepExplainer,0.48527380505966605,checkpoints\bachelor_safe_v2\mlp_seed1024.pt,
MLP,1024,MULL,0.004453849861583637,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,7,100,100,42,42,train_mean_scaled,DeepExplainer,0.48527380505966605,checkpoints\bachelor_safe_v2\mlp_seed1024.pt,
MLP,1024,LUFL,0.004780302901769416,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,6,100,100,42,42,train_mean_scaled,DeepExplainer,0.48527380505966605,checkpoints\bachelor_safe_v2\mlp_seed1024.pt,
MLP,1024,LULL,0.005250313919465351,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,5,100,100,42,42,train_mean_scaled,DeepExplainer,0.48527380505966605,checkpoints\bachelor_safe_v2\mlp_seed1024.pt,
MLP,1024,OT,0.009138279587957055,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),per-seed,1,100,100,42,42,train_mean_scaled,DeepExplainer,0.48527380505966605,checkpoints\bachelor_safe_v2\mlp_seed1024.pt,
MLP,mean,HUFL,0.007077104197711746,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),mean-across-seeds,2,100,100,42,42,train_mean_scaled,DeepExplainer,,not_applicable_mean_across_seeds,0.0005658017648863827
MLP,mean,HULL,0.005308639649056589,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),mean-across-seeds,4,100,100,42,42,train_mean_scaled,DeepExplainer,,not_applicable_mean_across_seeds,0.00029442085068613914
MLP,mean,MUFL,0.0066898989503608175,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),mean-across-seeds,3,100,100,42,42,train_mean_scaled,DeepExplainer,,not_applicable_mean_across_seeds,0.0004764460662198955
MLP,mean,MULL,0.0043528113307140645,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),mean-across-seeds,7,100,100,42,42,train_mean_scaled,DeepExplainer,,not_applicable_mean_across_seeds,0.00027798436955379496
MLP,mean,LUFL,0.004704558898454182,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),mean-across-seeds,6,100,100,42,42,train_mean_scaled,DeepExplainer,,not_applicable_mean_across_seeds,0.0004099840496511465
MLP,mean,LULL,0.005050616784100511,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),mean-across-seeds,5,100,100,42,42,train_mean_scaled,DeepExplainer,,not_applicable_mean_across_seeds,0.0004257442823933758
MLP,mean,OT,0.008513909500575904,scaled,SHAP,configs/experiments/fair_core_v2.yaml,SHAP (DeepExplainer),mean-across-seeds,1,100,100,42,42,train_mean_scaled,DeepExplainer,,not_applicable_mean_across_seeds,0.0008070377056991538
