model,seed,variable,shap_importance,input_space,explanation_type,active_config,is_true_shap,warning,num_background_windows_used,num_eval_windows_used,method,aggregation,shap_rank,eval_seed,bg_seed,shap_baseline,explainer,mse_scaled_check,checkpoint_path,shap_importance_std_across_seeds
LSTM,456,OT,0.004255472298878295,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,4,42,42,train_mean_scaled,GradientExplainer,0.6943250658858143,checkpoints\bachelor_safe_v2\lstm_seed456.pt,
LSTM,789,HUFL,0.00528614321090535,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,1,42,42,train_mean_scaled,GradientExplainer,0.5788175276831351,checkpoints\bachelor_safe_v2\lstm_seed789.pt,
LSTM,789,HULL,0.0028482156093006072,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,6,42,42,train_mean_scaled,GradientExplainer,0.5788175276831351,checkpoints\bachelor_safe_v2\lstm_seed789.pt,
LSTM,789,MUFL,0.0038561626101926484,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,2,42,42,train_mean_scaled,GradientExplainer,0.5788175276831351,checkpoints\bachelor_safe_v2\lstm_seed789.pt,
LSTM,789,MULL,0.0028709410840535043,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,5,42,42,train_mean_scaled,GradientExplainer,0.5788175276831351,checkpoints\bachelor_safe_v2\lstm_seed789.pt,
LSTM,789,LUFL,0.0027813214530643163,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,7,42,42,train_mean_scaled,GradientExplainer,0.5788175276831351,checkpoints\bachelor_safe_v2\lstm_seed789.pt,
LSTM,789,LULL,0.003164319283896951,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,4,42,42,train_mean_scaled,GradientExplainer,0.5788175276831351,checkpoints\bachelor_safe_v2\lstm_seed789.pt,
LSTM,789,OT,0.003234977370186154,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,3,42,42,train_mean_scaled,GradientExplainer,0.5788175276831351,checkpoints\bachelor_safe_v2\lstm_seed789.pt,
LSTM,1024,HUFL,0.00424115987713641,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,2,42,42,train_mean_scaled,GradientExplainer,0.5874453996568878,checkpoints\bachelor_safe_v2\lstm_seed1024.pt,
LSTM,1024,HULL,0.003362745228435369,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,5,42,42,train_mean_scaled,GradientExplainer,0.5874453996568878,checkpoints\bachelor_safe_v2\lstm_seed1024.pt,
LSTM,1024,MUFL,0.0050649865873648465,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,1,42,42,train_mean_scaled,GradientExplainer,0.5874453996568878,checkpoints\bachelor_safe_v2\lstm_seed1024.pt,
LSTM,1024,MULL,0.002404405973078999,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,7,42,42,train_mean_scaled,GradientExplainer,0.5874453996568878,checkpoints\bachelor_safe_v2\lstm_seed1024.pt,
LSTM,1024,LUFL,0.0028980491687902107,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,6,42,42,train_mean_scaled,GradientExplainer,0.5874453996568878,checkpoints\bachelor_safe_v2\lstm_seed1024.pt,
LSTM,1024,LULL,0.0038318416266665467,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,3,42,42,train_mean_scaled,GradientExplainer,0.5874453996568878,checkpoints\bachelor_safe_v2\lstm_seed1024.pt,
LSTM,1024,OT,0.0034491502317418217,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),per-seed,4,42,42,train_mean_scaled,GradientExplainer,0.5874453996568878,checkpoints\bachelor_safe_v2\lstm_seed1024.pt,
LSTM,mean,HUFL,0.0049811978201154995,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),mean-across-seeds,2,42,42,train_mean_scaled,GradientExplainer,,not_applicable_mean_across_seeds,0.0006599646050603041
LSTM,mean,HULL,0.0032815760973170086,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),mean-across-seeds,5,42,42,train_mean_scaled,GradientExplainer,,not_applicable_mean_across_seeds,0.0002444651989883718
LSTM,mean,MUFL,0.005350028857303122,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),mean-across-seeds,1,42,42,train_mean_scaled,GradientExplainer,,not_applicable_mean_across_seeds,0.0011573692283414908
LSTM,mean,MULL,0.0029390000607750857,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),mean-across-seeds,7,42,42,train_mean_scaled,GradientExplainer,,not_applicable_mean_across_seeds,0.00046304923649041166
LSTM,mean,LUFL,0.0031711934906997682,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),mean-across-seeds,6,42,42,train_mean_scaled,GradientExplainer,,not_applicable_mean_across_seeds,0.00039703058363767333
LSTM,mean,LULL,0.004004902423758007,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),mean-across-seeds,3,42,42,train_mean_scaled,GradientExplainer,,not_applicable_mean_across_seeds,0.0006281002418407895
LSTM,mean,OT,0.003597123488007724,scaled,SHAP,configs/experiments/fair_core_v2.yaml,True,,16,16,SHAP (GradientExplainer),mean-across-seeds,4,42,42,train_mean_scaled,GradientExplainer,,not_applicable_mean_across_seeds,0.00043070236842459176
