model,seed,k,baseline_mse,top_mse_increase,bot_mse_increase,gap
TFT,123,6,0.64641629,0.63084893,0.73637451,-0.10552559
TFT,123,7,0.64641629,0.66664405,0.66664405,0.0
TFT,456,1,0.65586712,0.39892742,-0.02136357,0.42029099
TFT,456,2,0.65586712,0.39027987,0.03771916,0.35256072
TFT,456,3,0.65586712,0.47899565,0.05738553,0.42161012
TFT,456,4,0.65586712,0.55340572,0.08949954,0.46390618
TFT,456,5,0.65586712,0.51650331,0.0861211,0.43038221
TFT,456,6,0.65586712,0.34111434,0.21059464,0.13051969
TFT,456,7,0.65586712,0.50317626,0.50317626,0.0
TFT,789,1,0.63100083,0.11166,0.00954055,0.10211945
TFT,789,2,0.63100083,0.15238929,0.02123287,0.13115642
TFT,789,3,0.63100083,0.24168569,0.11040976,0.13127592
TFT,789,4,0.63100083,0.72588214,0.17564176,0.55024038
TFT,789,5,0.63100083,1.13068167,0.28336239,0.84731928
TFT,789,6,0.63100083,1.23490563,0.65527267,0.57963295
TFT,789,7,0.63100083,1.33569181,1.33569181,0.0
TFT,1024,1,1.05726499,0.050875,-0.00459426,0.05546926
TFT,1024,2,1.05726499,0.06480894,0.00206909,0.06273985
TFT,1024,3,1.05726499,0.17468545,0.00914493,0.16554052
TFT,1024,4,1.05726499,0.19274797,0.03034025,0.16240772
TFT,1024,5,1.05726499,0.19956882,0.01358488,0.18598394
TFT,1024,6,1.05726499,0.23504832,0.14978947,0.08525885
TFT,1024,7,1.05726499,0.23691223,0.23691223,0.0
