model,horizon,mse,mae,rmse,seed_count,seed_std_mse
LSTM,8,13.875776894656154,2.2401415805094764,3.7241588474263505,3,0.7306306719729259
LSTM,9,13.50231657153775,2.224712490840894,3.67425673931238,3,0.4178951086864035
LSTM,10,13.667797151947989,2.251649115662317,3.6963421966343346,3,0.6289193562237654
LSTM,11,13.322199471376493,2.227531314809317,3.648899443822834,3,0.7858086098762043
LSTM,12,13.420749849830338,2.2383288808040596,3.6621984052384264,3,0.8576762654350407
LSTM,13,13.45789370863111,2.256494111381332,3.6682394271311374,3,0.39462023489223963
LSTM,14,13.576368316564567,2.2761970506621325,3.684075935368296,3,0.5707429966813303
LSTM,15,13.311891597749693,2.251918205527216,3.6482944744108288,3,0.3838405555763562
LSTM,16,13.360255858155325,2.2523008439500063,3.655108648927543,3,0.1867027684658327
LSTM,17,13.209175562464319,2.2286758047221813,3.6344326461378196,3,0.07699679800522752
LSTM,18,13.198366867550128,2.227179172729405,3.6328872711120557,3,0.1983687587093853
LSTM,19,12.970073992383348,2.1977280521558176,3.601375907321381,3,0.11338693646077308
LSTM,20,12.885913967329941,2.200490006611725,3.5894543805828394,3,0.36732621970673907
LSTM,21,12.420682970533287,2.1369773214127634,3.5242267550184736,3,0.19513119755515407
LSTM,22,12.327082137583153,2.126647936875614,3.510875572195385,3,0.2489510936384297
LSTM,23,12.18061423329093,2.1184090387898578,3.490019615062518,3,0.16575117532988393
LSTM,24,12.718839564810947,2.1616030714584507,3.566101582780735,3,0.3678352612166055
TFT,1,9.497739171723909,1.9966153432672102,3.081580104435767,3,0.30362513044254935
TFT,2,11.034933225175692,2.126113876311989,3.3212299362548094,3,0.5410871123235835
TFT,3,12.54536807763394,2.2299726912345688,3.541431276308114,3,0.5258610509479755
TFT,4,13.75292986197868,2.297652234981394,3.708149755537857,3,0.4613477511824009
TFT,5,14.568630388299278,2.340148796439258,3.8165584720543766,3,0.47066936896608635
TFT,6,15.01730659914459,2.365559077124455,3.8747516606784607,3,0.5723594509279812
TFT,7,15.253580213006709,2.3837275737936725,3.90486573237918,3,0.7179268533537729
TFT,8,15.340494238951601,2.392863001138939,3.915733713022006,3,0.832697465252829
TFT,9,15.285872342111958,2.3929250350164817,3.908717761512836,3,0.8455867927792319
TFT,10,15.156978729116885,2.3881295643201375,3.892391717525442,3,0.7558384489546472
TFT,11,15.000338607157317,2.3799321492669283,3.872383125778141,3,0.6725420388098526
TFT,12,14.838963072219643,2.3697071808578545,3.851531716184328,3,0.6482560698807772
TFT,13,14.66925214555161,2.3580888341935875,3.829366184512134,3,0.6813101155425392
TFT,14,14.518821984513295,2.3460793254419428,3.809545631081209,3,0.7382920919383185
TFT,15,14.417245918473816,2.337540399238342,3.7961005679175783,3,0.7738803669017312
TFT,16,14.363242501397343,2.3341647620502983,3.7889305925149284,3,0.7916880774925631
TFT,17,14.350271820292711,2.333386012767641,3.7872073907391752,3,0.794653273746968
TFT,18,14.334529932588168,2.331359675003359,3.785111197317035,3,0.8008881532300284
TFT,19,14.316935817626389,2.328930854168673,3.782758617204859,3,0.8121726050086499
TFT,20,14.32665999170888,2.3291924319401964,3.7839391305752863,3,0.8546758345475616
TFT,21,14.3807063715697,2.3337295711069728,3.7908843245530264,3,0.9278002895135633
TFT,22,14.444512410657135,2.3381952017442615,3.7991171698429276,3,0.991615772108357
TFT,23,14.49047314943216,2.340806116632098,3.8052193039843942,3,0.9750612482471525
TFT,24,14.567853071713612,2.3461647096390137,3.8156100168083853,3,0.8929935765081981
